"","Macroplot","MonStatusOrd","MonStatus","Species","SciName","CommName","Individuals","Sapling","Seedling","Snag","Total","BA","LiCrBHt","Height","QMD","CrFuBHt","CrScPct","ScorchHt","CharHt","LiveSeedling","DeadSeedling","LiveSapling","DeadSapling","BASapling"
"23","FPICO1T08:09",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",230.675839740996,NA,NA,20.2347227842979,230.675839740996,82.7437508932478,NA,28.50195,8.10966674914185,NA,0,0,0,NA,NA,NA,NA,NA
"24","FPICO1T08:09",7,"01PostBurnYear05","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",4.04694455685957,NA,NA,4.04694455685957,4.04694455685957,2.64408098997394,NA,NA,10.94486,NA,0,0,0,NA,NA,NA,NA,NA
"25","FPICO1T08:09",16,"02PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",12.6467017401862,NA,NA,0,12.6467017401862,0.494371025116757,NA,NA,2.67716,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","FPICO1T08:09",16,"02PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",240.287333063537,NA,NA,139.113719142048,240.287333063537,85.6339568074217,21.3252,51.1611811764706,8.08339922317729,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","FPICO1T08:10",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",238.769728854715,NA,NA,24.2816673411574,238.769728854715,63.0585467111246,NA,25.6388444444444,6.95855087468575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","FPICO1T08:10",1,"00PreBurn01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",12.1408336705787,NA,NA,0,12.1408336705787,1.75671065928513,NA,22.9656,5.15065338328708,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","FPICO1T08:10",1,"00PreBurn01","POTR5","Populus tremuloides","quaking aspen",4.04694455685957,NA,NA,0,4.04694455685957,1.05976725771742,NA,NA,6.92912,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","FPICO1T08:10",4,"01PostBurnYear00","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",238.769728854715,NA,NA,52.6102792391744,238.769728854715,10.2481916068235,NA,21.7938857142857,4.07209064157862,NA,0.000694444444444444,0.159483333333333,0.21872,NA,NA,NA,NA,NA
"31","FPICO1T08:10",4,"01PostBurnYear00","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",12.1408336705787,NA,NA,0,12.1408336705787,0.362994918788152,NA,21.3252,2.86753091604955,NA,0,0,0,NA,NA,NA,NA,NA
"32","FPICO1T08:10",4,"01PostBurnYear00","POTR5","Populus tremuloides","quaking aspen",8.09388911371914,NA,NA,0,8.09388911371914,0.452460678696825,NA,32.808,4.52755,NA,0,0,0,NA,NA,NA,NA,NA
