Densities = per acre | BA = sq. ft. / acre | Heights = feet | QMD = inches

Macroplot,MonStatusOrd,MonStatus,Species,SciName,CommName,Individuals,Sapling,Seedling,Snag,Total,BA,LiCrBHt,Height,QMD,CrFuBHt,CrScPct,ScorchHt,CharHt,LiveSeedling,DeadSeedling,LiveSapling,DeadSapling,BASapling
"FPICO1T08:10",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",238.769728854715,,,24.2816673411574,238.769728854715,63.0585467111246,,25.6388444444444,6.95855087468575,,,,,,,,,
"FPICO1T08:10",1,"00PreBurn01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",12.1408336705787,,,0,12.1408336705787,1.75671065928513,,22.9656,5.15065338328708,,,,,,,,,
"FPICO1T08:10",1,"00PreBurn01","POTR5","Populus tremuloides","quaking aspen",4.04694455685957,,,0,4.04694455685957,1.05976725771742,,,6.92912,,,,,,,,,
"FPICO1T08:10",4,"01PostBurnYear00","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",238.769728854715,,,52.6102792391744,238.769728854715,10.2481916068235,,21.7938857142857,4.07209064157862,,0.000694444444444444,0.159483333333333,0.21872,,,,,
"FPICO1T08:10",4,"01PostBurnYear00","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",12.1408336705787,,,0,12.1408336705787,0.362994918788152,,21.3252,2.86753091604955,,0,0,0,,,,,
"FPICO1T08:10",4,"01PostBurnYear00","POTR5","Populus tremuloides","quaking aspen",8.09388911371914,,,0,8.09388911371914,0.452460678696825,,32.808,4.52755,,0,0,0,,,,,
"FPICO1T08:10",4,"01PostBurnYear00","PRVI","Prunus virginiana","chokecherry, chokecherry (common), common chokecherry, Virginia chokecherry",4.04694455685957,,,0,4.04694455685957,0.0249409326858212,,13.1232,1.06299,,0,0,0,,,,,
"FPICO1T08:10",5,"01PostBurnYear01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",238.769728854715,,,40.4694455685957,238.769728854715,60.3622574038961,,21.7938857142857,6.80815703498858,,0,0,0,,,,,
"FPICO1T08:10",5,"01PostBurnYear01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",12.1408336705787,,,0,12.1408336705787,1.75900289864034,,21.3252,5.15401269616209,,0,0,0,,,,,
"FPICO1T08:10",5,"01PostBurnYear01","POTR5","Populus tremuloides","quaking aspen",8.09388911371914,,,0,8.09388911371914,1.51222793641424,,32.808,5.85283747326457,,0,0,0,,,,,
"FPICO1T08:10",5,"01PostBurnYear01","PRVI","Prunus virginiana","chokecherry, chokecherry (common), common chokecherry, Virginia chokecherry",4.04694455685957,,,0,4.04694455685957,0.0249409326858212,,13.1232,1.06299,,0,0,0,,,,,
