Report Date,MacroPlot Name,Sample Event Date,Visited,Plot Area,Snag Plot Area,Break Pnt. Dia.,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:19,1999/09/16,True,0.1,0.1,15,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Subplot Frac.,Quarter,Tag Num.,UV1,Species,Status,Crown Class,DBH,Height,UV2,Live Crown Base Ht.,UV3,Comment,Is Verified,Damage 1,Damage 2,Damage 3,Damage 4,Damage 5,Char Ht.,Scorch Ht.,Crown Scorch %
2025/10/21,FPICO1T08:19,1999/09/16,1,1,1,,PICO,L,X,3.2,3,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,2,,PICO,L,X,13.1,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,3,,PICO,D,X,11.8,8,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,4,,PICO,L,X,6.8,5,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,5,,PICO,L,X,9.5,7,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,6,,PICO,L,X,13,9,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,7,,PICO,D,X,8.3,8,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,2,8,,PICO,L,X,10.5,7,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,2,9,,PICO,L,X,10.9,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,2,10,,PICO,L,X,3.8,4,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,2,11,,PICO,L,X,7.4,6,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,2,12,,PICO,L,X,9.2,4,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,2,13,,PICO,L,X,10.8,9,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,2,14,,PICO,D,X,14.1,8,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,2,15,,PICO,L,X,13.5,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,2,16,,PICO,L,X,11.4,7,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,1,,PICO,L,C,27.4,,,, overq1_all,FMH TREEOVER 1067,Yes,FORK,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,2,,PICO,L,C,20.9,,,, overq1_all,FMH TREEOVER 1067,Yes,WOND,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,3,,PICO,L,C,21.4,,,, overq1_all,FMH TREEOVER 1067,Yes,CROK,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,4,,PICO,L,C,31.8,,,, overq1_all,FMH TREEOVER 1067,Yes,ABGR,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,5,,PICO,L,I,17.2,,,, overq1_all,FMH TREEOVER 1067,Yes,FORK,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,6,,PICO,L,C,18.1,,,, overq1_all,FMH TREEOVER 1067,Yes,LEAN,,,,,,,
2025/10/21,FPICO1T08:19,1999/09/16,1,1,7,,PICO,L,C,18.6,,,, overq1_all,FMH TREEOVER 1067,Yes,FORK,,,,,,,
