Report Date,MacroPlot Name,Sample Event Date,Visited,Num. Transects,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:20,1999/09/16,True,4,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Transect,Samp. Loc.,Litter Depth,Duff Depth,DLFuConSt,Off Set,Comment,Fuelbed Depth
2025/10/21,FPICO1T08:20,1999/09/16,1,1,0.5,1.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,1,5,0.3,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,1,10,0.4,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,1,15,0.3,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,1,20,1.7,1.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,1,25,0.1,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,1,30,1.5,1.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,1,35,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,1,40,1.2,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,1,45,1,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,2,1,1,1.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,2,5,0.6,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,2,10,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,2,15,0.2,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,2,20,0.5,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,2,25,0.6,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,2,30,0.3,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,2,35,1.2,0.9,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,2,40,1,1.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,2,45,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,3,1,0.2,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,3,5,0.4,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,3,10,0.5,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,3,15,0.2,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,3,20,0.4,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,3,25,0.5,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,3,30,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,3,35,0.5,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,3,40,0.5,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,3,45,0.6,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,4,1,0.5,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,4,5,0.4,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,4,10,0.5,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,4,15,0.4,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,4,20,0.4,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,4,25,0.5,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,4,30,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,4,35,0.3,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,4,40,0.5,5.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:20,1999/09/16,4,45,0.8,0.4,Default,No,From FMH DFLITDUF 1060,0
