Report Date,MacroPlot Name,Sample Event Date,Visited,Num. Transects,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:13,2001/09/12,True,4,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Transect,Samp. Loc.,Litter Depth,Duff Depth,DLFuConSt,Off Set,Comment,Fuelbed Depth
2025/10/21,FPICO1T08:13,2001/09/12,1,1,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,1,5,1.1,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,1,10,1.5,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,1,15,0.5,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,1,20,1.3,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,1,25,0.7,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,1,30,0.2,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,1,35,0.7,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,1,40,0.5,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,1,45,0.2,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,2,1,0.4,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,2,5,0.6,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,2,10,0.6,0.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,2,15,0.7,1.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,2,20,0.4,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,2,25,0.4,0.7,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,2,30,0.3,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,2,35,0.4,0.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,2,40,0.2,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,2,45,0.4,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,3,1,0.3,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,3,5,0.4,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,3,10,0.2,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,3,15,0.1,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,3,20,0.4,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,3,25,0.9,0.7,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,3,30,0.5,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,3,35,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,3,40,0.2,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,3,45,0.6,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,4,1,0.4,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,4,5,0.3,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,4,10,0.3,0.7,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,4,15,0.2,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,4,20,0.3,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,4,25,0.4,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,4,30,0.2,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,4,35,0.5,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,4,40,0.1,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:13,2001/09/12,4,45,0.3,0.2,Default,No,From FMH DFLITDUF 1060,0
