Report Date,MacroPlot Name,Sample Event Date,Visited,Num. Transects,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:11,2001/09/14,True,4,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Transect,Samp. Loc.,Litter Depth,Duff Depth,DLFuConSt,Off Set,Comment,Fuelbed Depth
2025/10/21,FPICO1T08:11,2001/09/14,1,1,0.4,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,1,5,1.5,0.9,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,1,10,0.7,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,1,15,1.1,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,1,20,1.3,1.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,1,25,0.1,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,1,30,0.1,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,1,35,0.9,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,1,40,1,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,1,45,0.1,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,2,1,0.3,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,2,5,1.3,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,2,10,1,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,2,15,1.1,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,2,20,1.3,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,2,25,1.1,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,2,30,0.8,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,2,35,0.6,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,2,40,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,2,45,0.3,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,3,1,0.4,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,3,5,1.2,2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,3,10,0.9,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,3,15,0.2,0.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,3,20,0.2,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,3,25,0.2,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,3,30,0.2,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,3,35,0.4,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,3,40,0.6,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,3,45,0.4,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,4,1,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,4,5,0.6,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,4,10,0.9,6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,4,15,0.5,2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,4,20,0.2,3.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,4,25,0.6,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,4,30,0.2,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,4,35,0.4,1.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,4,40,0.6,1.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:11,2001/09/14,4,45,0.5,6,Default,No,From FMH DFLITDUF 1060,0
