Report Date,MacroPlot Name,Sample Event Date,Visited,Num. Transects,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:09,1998/07/29,True,4,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Transect,Samp. Loc.,Litter Depth,Duff Depth,DLFuConSt,Off Set,Comment,Fuelbed Depth
2025/10/21,FPICO1T08:09,1998/07/29,1,1,0.3,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,1,5,0.3,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,1,10,0.3,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,1,15,0.3,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,1,20,0.3,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,1,25,1,1.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,1,30,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,1,35,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,1,40,0.5,1.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,1,45,0.3,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,2,1,0.3,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,2,5,1,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,2,10,1,1.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,2,15,0.2,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,2,20,0.2,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,2,25,0.3,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,2,30,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,2,35,0,2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,2,40,0.2,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,2,45,0.3,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,3,1,0.5,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,3,5,0.5,1.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,3,10,0.3,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,3,15,4,2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,3,20,0.5,1.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,3,25,0.5,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,3,30,0.5,2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,3,35,2,4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,3,40,1,3.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,3,45,1,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,4,1,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,4,5,1,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,4,10,1,1.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,4,15,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,4,20,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,4,25,2,2.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,4,30,1,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,4,35,2,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,4,40,1,2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:09,1998/07/29,4,45,0,0,Default,No,From FMH DFLITDUF 1060,0
