Report Date,MacroPlot Name,Sample Event Date,Visited,Plot Area,Snag Plot Area,Break Pnt. Dia.,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:12,1999/07/22,True,0.1,0.1,15,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Subplot Frac.,Quarter,Tag Num.,UV1,Species,Status,Crown Class,DBH,Height,UV2,Live Crown Base Ht.,UV3,Comment,Is Verified,Damage 1,Damage 2,Damage 3,Damage 4,Damage 5,Char Ht.,Scorch Ht.,Crown Scorch %
2025/10/21,FPICO1T08:12,1999/07/22,1,1,1,,PICO,L,X,14.7,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,2,,PICO,L,X,9,5,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,3,,PICO,L,X,3.2,3,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,4,,PICO,L,X,7.5,6,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,5,,PICO,L,X,6.6,4,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,6,,PICO,L,X,7.2,4,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,7,,PICO,L,X,12.4,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,8,,PICO,L,X,12.9,9,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,10,,PICO,L,X,2.6,2,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,11,,PICO,L,X,12.5,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,12,,PICO,L,X,6,5,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,13,,PICO,D,X,7.1,3,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,14,,PICO,D,X,3.7,4,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,15,,PICO,L,X,11.6,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,16,,PICO,L,X,5.6,6,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,17,,PICO,D,X,2.6,2,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,18,,PICO,L,X,6,4,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,19,,PICO,L,X,12,9,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,20,,PICO,D,X,11.2,9,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,21,,PICO,D,X,13.9,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,22,,PICO,D,X,3.7,3,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,23,,PICO,L,X,9.1,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,24,,PICO,L,X,14.7,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,25,,PICO,L,X,13.4,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,26,,PICO,L,X,6.4,7,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,27,,PICO,D,X,5.1,3,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,28,,PICO,L,X,5.5,5,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,29,,PICO,L,X,8.6,8,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,30,,PICO,L,X,8.9,8,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,31,,PICO,D,X,4.8,5,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,32,,PICO,L,X,7.6,6,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,33,,PICO,L,X,8.6,6,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,34,,PICO,L,X,7.3,5,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,35,,PICO,D,X,9.5,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,36,,PICO,L,X,5.6,4,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,37,,PICO,D,X,4.6,6,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,1,,PICO,L,C,24.4,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,2,,PICO,L,D,41.1,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,3,,PICO,D,RS,33.2,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,4,,PICO,L,I,26.3,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,5,,PICO,D,RS,25,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,6,,PICO,L,C,32.3,,,, overq1_all,FMH TREEOVER 1067,Yes,WOND,CONK,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,7,,ABLA,L,SC,17,,,, overq1_all,FMH TREEOVER 1067,Yes,INSE,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,8,,PICO,L,D,39.8,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,9,,PICO,D,LBS,39,,,, overq1_all,FMH TREEOVER 1067,Yes,TWIN,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,10,,PICO,D,LBS,17.6,,,, overq1_all,FMH TREEOVER 1067,Yes,TWIN,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,11,,PIEN,L,D,44.2,,,, overq1_all,FMH TREEOVER 1067,Yes,INSE,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,12,,PICO,L,C,28.8,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,1,13,,PICO,L,I,17.2,,,, overq1_all,FMH TREEOVER 1067,Yes,CROK,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,14,,PICO,L,D,29.2,,,, overq2_all,FMH TREEOVER 1067,Yes,CROK,WOND,INSE,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,15,,PICO,L,D,29.7,,,, overq2_all,FMH TREEOVER 1067,Yes,WOND,SPAR,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,16,,PICO,L,C,27.8,,,, overq2_all,FMH TREEOVER 1067,Yes,CROK,SPAR,INSE,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,17,,PICO,D,CS,19.1,,,, overq2_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,18,,PICO,L,C,33.6,,,, overq2_all,FMH TREEOVER 1067,Yes,LEAN,WOND,DTOP,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,19,,PICO,L,I,20.1,,,, overq2_all,FMH TREEOVER 1067,Yes,SPAR,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,20,,PICO,D,LBS,16.3,,,, overq2_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,21,,PICO,L,C,20.2,,,, overq2_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,22,,PICO,D,RS,43.8,,,, overq2_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,23,,PICO,L,C,27,,,, overq2_all,FMH TREEOVER 1067,Yes,FORK,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,24,,PICO,L,I,17.7,,,, overq2_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,25,,PICO,D,CS,27.2,,,, overq2_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,26,,PICO,L,D,52.6,,,, overq2_all,FMH TREEOVER 1067,Yes,CROK,WOND,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,27,,PICO,L,D,45.6,,,, overq2_all,FMH TREEOVER 1067,Yes,FORK,,,,,,,
2025/10/21,FPICO1T08:12,1999/07/22,1,2,28,,PICO,L,D,45.1,,,, overq2_all,FMH TREEOVER 1067,Yes,FORK,,,,,,,
