Report Date,MacroPlot Name,Sample Event Date,Visited,Plot Area,Snag Plot Area,Break Pnt. Dia.,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:09,1998/07/29,True,0.1,0.1,15,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Subplot Frac.,Quarter,Tag Num.,UV1,Species,Status,Crown Class,DBH,Height,UV2,Live Crown Base Ht.,UV3,Comment,Is Verified,Damage 1,Damage 2,Damage 3,Damage 4,Damage 5,Char Ht.,Scorch Ht.,Crown Scorch %
2025/10/21,FPICO1T08:09,1998/07/29,1,1,1,,PICO,L,X,8.4,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,2,,PICO,L,X,11.4,8,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,3,,PICO,L,X,7.3,6,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,4,,PICO,L,X,10.9,6,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,5,,PICO,D,X,10.3,8,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,6,,PICO,L,X,5.1,4,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,7,,PICO,L,X,8.8,9,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,8,,PICO,L,X,11.5,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,9,,PICO,L,X,13.5,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,10,,PICO,L,X,11.1,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,22,,PICO,D,X,5.3,4,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,23,,PICO,D,X,2.6,3,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,24,,PICO,D,X,5.9,3,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,25,,PICO,D,X,5.8,3,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,2,11,,PICO,L,X,12.4,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,2,12,,ABLA,L,X,14.3,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,2,13,,PICO,L,X,11.4,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,2,14,,PICO,D,X,6.8,9,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,2,15,,PICO,L,X,12.2,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,2,16,,PICO,L,X,14.5,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,2,17,,PICO,D,X,8.6,9,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,2,18,,PICO,L,X,9.9,9,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,2,19,,PICO,L,X,13.6,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,2,20,,PICO,L,X,10.9,9,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,2,21,,PICO,L,X,2.9,3,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,48,,PICO,L,I,20.6,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,49,,PICO,L,I,15.1,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:09,1998/07/29,1,1,50,,PICO,L,I,21.5,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
