Report Date,MacroPlot Name,Sample Event Date,Visited,Plot Area,Snag Plot Area,Break Pnt. Dia.,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:13,2001/09/12,True,0.1,0.1,15,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Subplot Frac.,Quarter,Tag Num.,UV1,Species,Status,Crown Class,DBH,Height,UV2,Live Crown Base Ht.,UV3,Comment,Is Verified,Damage 1,Damage 2,Damage 3,Damage 4,Damage 5,Char Ht.,Scorch Ht.,Crown Scorch %
2025/10/21,FPICO1T08:13,2001/09/12,1,1,1,,PIEN,L,X,7,5,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:13,2001/09/12,1,1,2,,PIEN,D,X,5.1,2,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:13,2001/09/12,1,1,3,,PIEN,L,X,2.6,3,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:13,2001/09/12,1,1,4,,PICO,L,X,10,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:13,2001/09/12,1,1,5,,PIEN,L,X,11.6,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:13,2001/09/12,1,1,6,,PIEN,L,X,10.2,9,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:13,2001/09/12,1,1,7,,PIEN,L,X,13.5,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:13,2001/09/12,1,1,8,,PICO,L,X,14.7,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:13,2001/09/12,1,2,10,,PIEN,L,X,13.1,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:13,2001/09/12,1,1,1,,PICO,L,C,23.4,,,, overq1_all,FMH TREEOVER 1067,Yes,WOND,LEAN,MAMM,,,,,
2025/10/21,FPICO1T08:13,2001/09/12,1,1,2,,PICO,L,C,27.1,,,, overq1_all,FMH TREEOVER 1067,Yes,WOND,CROK,,,,,,
