Report Date,MacroPlot Name,Sample Event Date,Visited,Plot Area,Snag Plot Area,Break Pnt. Dia.,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:24,2000/09/22,True,0.1,0.1,15,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Subplot Frac.,Quarter,Tag Num.,UV1,Species,Status,Crown Class,DBH,Height,UV2,Live Crown Base Ht.,UV3,Comment,Is Verified,Damage 1,Damage 2,Damage 3,Damage 4,Damage 5,Char Ht.,Scorch Ht.,Crown Scorch %
2025/10/21,FPICO1T08:24,2000/09/22,1,1,1,,PICO,D,X,14.3,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,2,,PIEN,L,X,7.8,5,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,3,,PICO,D,X,12.7,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,4,,PICO,D,X,13.1,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,5,,PIEN,L,X,13.8,9,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,6,,PICO,D,X,3.8,2,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,7,,PICO,D,X,7.7,7,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,8,,PICO,D,X,14,9,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,9,,PICO,D,X,12.6,9,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,10,,PICO,L,X,9,7,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,11,,PIEN,L,X,4.4,4,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,12,,PICO,D,X,8.7,4,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,13,,PICO,D,X,12.4,6,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,14,,PICO,D,X,14.3,9,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,15,,PICO,D,X,9.6,7,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,16,,PICO,D,X,5.1,6,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,17,,PIEN,L,X,13.5,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,18,,PIEN,L,X,11,8,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,19,,PICO,D,X,5.4,6,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,20,,PICO,D,X,6.1,6,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,21,,PIEN,L,X,13.1,8,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,22,,PICO,D,X,3.8,6,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,23,,PICO,D,X,12.2,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,24,,PICO,D,X,11.5,8,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,25,,PICO,D,X,11.3,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,26,,PICO,D,X,12,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,1,,PICO,L,C,21.3,,,, overq1_all,FMH TREEOVER 1067,Yes,LEAN,WOND,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,2,,PICO,D,RS,17,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,3,,PICO,L,C,17.7,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
2025/10/21,FPICO1T08:24,2000/09/22,1,1,4,,PIEN,L,C,28,,,, overq1_all,FMH TREEOVER 1067,Yes,,,,,,,,
