Report Date,MacroPlot Name,Sample Event Date,Visited,Num. Transects,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:15,1999/09/15,True,4,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Transect,Samp. Loc.,Litter Depth,Duff Depth,DLFuConSt,Off Set,Comment,Fuelbed Depth
2025/10/21,FPICO1T08:15,1999/09/15,1,1,0.4,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,1,5,0.4,0.7,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,1,10,0.9,0.7,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,1,15,0.4,0.9,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,1,20,0.3,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,1,25,0.2,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,1,30,0.4,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,1,35,1.3,1.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,1,40,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,1,45,0.9,1.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,2,1,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,2,5,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,2,10,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,2,15,1.1,0.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,2,20,0.9,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,2,25,0.5,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,2,30,0.6,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,2,35,0.6,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,2,40,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,2,45,0.2,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,3,1,0.7,0.9,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,3,5,0.3,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,3,10,0.5,0.7,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,3,15,0.3,0.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,3,20,1.3,1.9,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,3,25,0.6,0.7,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,3,30,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,3,35,0.5,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,3,40,0.2,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,3,45,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,4,1,0.4,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,4,5,0.6,1.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,4,10,0.7,0.9,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,4,15,0.1,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,4,20,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,4,25,0.3,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,4,30,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,4,35,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,4,40,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:15,1999/09/15,4,45,0.6,1.4,Default,No,From FMH DFLITDUF 1060,0
