Report Date,MacroPlot Name,Sample Event Date,Visited,Num. Transects,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:10,2003/08/13,True,4,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Transect,Samp. Loc.,Litter Depth,Duff Depth,DLFuConSt,Off Set,Comment,Fuelbed Depth
2025/10/21,FPICO1T08:10,2003/08/13,1,1,1,1.9,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,1,5,0.4,1.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,1,10,0.8,2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,1,15,0.5,2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,1,20,0.8,2.7,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,1,25,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,1,30,1,3.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,1,35,0.5,1.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,1,40,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,1,45,0.6,0.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,2,1,1.1,0.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,2,5,1,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,2,10,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,2,15,0.2,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,2,20,0.5,1.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,2,25,0.9,1.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,2,30,1.3,1.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,2,35,0.8,1.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,2,40,1,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,2,45,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,3,1,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,3,5,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,3,10,0.8,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,3,15,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,3,20,0.4,0.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,3,25,0.4,1.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,3,30,0.2,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,3,35,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,3,40,0.9,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,3,45,1.3,1.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,4,1,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,4,5,1.7,3.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,4,10,1.2,2.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,4,15,1,1.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,4,20,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,4,25,0.6,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,4,30,0.7,1.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,4,35,0.6,1.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,4,40,0.5,1.4,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:10,2003/08/13,4,45,0.4,1,Default,No,From FMH DFLITDUF 1060,0
