Report Date,MacroPlot Name,Sample Event Date,Visited,Plot Area,Snag Plot Area,Break Pnt. Dia.,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:10,1998/07/29,True,0.1,0.1,15,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Subplot Frac.,Quarter,Tag Num.,UV1,Species,Status,Crown Class,DBH,Height,UV2,Live Crown Base Ht.,UV3,Comment,Is Verified,Damage 1,Damage 2,Damage 3,Damage 4,Damage 5,Char Ht.,Scorch Ht.,Crown Scorch %
2025/10/21,FPICO1T08:10,1998/07/29,1,1,1,,PICO,L,X,3.5,3,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,2,,PICO,D,X,4,3,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,3,,PICO,L,X,10.4,8,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,4,,PICO,L,X,10.7,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,5,,PICO,D,X,13.8,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,6,,PICO,L,X,14.6,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,7,,PICO,L,X,13.9,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,8,,PICO,L,X,12.6,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,9,,PICO,L,X,14.4,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,10,,PICO,L,X,14.1,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,11,,PICO,L,X,14.9,8,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,12,,PIEN,L,X,6.1,6,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,13,,PICO,D,X,7.4,9,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,14,,PICO,L,X,13.9,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,15,,PICO,L,X,9.9,8,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,16,,PICO,L,X,13.2,9,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,17,,PICO,D,X,9.3,5,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,18,,PICO,D,X,3.9,3,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,19,,PICO,L,X,11.9,10,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,1,20,,PICO,L,X,5,4,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,21,,PICO,L,X,14.2,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,22,,PICO,L,X,5,5,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,23,,PICO,L,X,9.2,6,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,24,,PICO,L,X,8,6,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,25,,PICO,D,X,6.7,6,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,26,,PICO,L,X,11.6,9,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,27,,PICO,L,X,7.1,5,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,28,,PICO,L,X,11.6,8,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,29,,PICO,L,X,12.1,10,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,30,,PICO,L,X,7.3,8,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,31,,PICO,L,X,4.8,4,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,32,,PIEN,L,X,8.5,8,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
2025/10/21,FPICO1T08:10,1998/07/29,1,2,33,,PICO,L,X,7.2,7,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,,,
